artists,genres,popularity,valence,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,mode,duration_ms,count
'Cats' 1981 Original London Cast,['show tunes'],38.33333333,0.3895,0.590111111,0.467222222,0.394003333,0.011399851,0.290833333,-14.448,0.210388889,117.5181111,5,1,250318.5556,9
'Cats' 1983 Broadway Cast,[],30.57692308,0.268865385,0.862538462,0.441730769,0.406807692,0.081158264,0.315215385,-10.69,0.176211538,103.0441538,5,1,287280,26
'Fiddler On The Roof” Motion Picture Chorus,[],34.85714286,0.354857143,0.856571429,0.348285714,0.286571429,0.024592949,0.325785714,-15.23071429,0.118514286,77.37585714,0,1,328920,7
'Fiddler On The Roof” Motion Picture Orchestra,[],34.85185185,0.37202963,0.884925926,0.425074074,0.24577037,0.073587279,0.275481481,-15.63937037,0.1232,88.66762963,0,1,262890.963,27
'Joseph And The Amazing Technicolor Dreamcoat' 1991 London Cast,[],43,0.482285714,0.510714286,0.467142857,0.488285714,0.009400291,0.195,-10.23671429,0.098542857,122.8358571,5,1,270436.1429,7
'Joseph And The Amazing Technicolor Dreamcoat' 1992 Canadian Cast,[],32.77777778,0.441555556,0.609555556,0.487277778,0.309905556,0.004695657,0.274766667,-18.26638889,0.098022222,118.6489444,5,1,205091.9444,36
'Mama' Helen Teagarden,[],0,0.885,0.725,0.637,0.512,0.186,0.426,-20.615,0.21,134.819,8,1,135533,2
'Test for Victor Young',[],3,0.902,0.927,0.734,0.474,0.0762,0.737,-10.544,0.256,132.788,10,1,175693,2
'Weird Al' Yankovic,"['comedy rock', 'comic', 'parody']",34.2295082,0.751344262,0.173145082,0.662786885,0.695393443,4.98E-05,0.161101639,-9.768704918,0.084536066,133.0311803,9,1,218948.1967,122
$NOT,"['emo rap', 'florida rap', 'sad rap', 'underground hip hop', 'vapor trap']",67.53333333,0.4807,0.544466667,0.7898,0.532933333,0.023062583,0.1803,-9.149266667,0.293686667,112.3448,1,1,137910.4667,15
$atori Zoom,"['dark trap', 'meme rap']",67,0.871,0.239,0.883,0.625,0,0.0765,-4.098,0.245,126.677,6,1,141519,2
$pyda,[],59,0.266,0.000122,0.514,0.899,0.0793,0.367,-5.115,0.0602,174.028,7,1,331240,1
$tupid Young,"['asian american hip hop', 'cali rap', 'west coast trap']",57.5,0.6255,0.1481,0.854,0.683,2.08E-06,0.1885,-6.997,0.221,100.7245,1,1,190572,2
$uicideBoy$,"['dark trap', 'new orleans rap', 'underground hip hop']",61.8,0.2872856,0.14148488,0.749344,0.635552,0.045675096,0.2022528,-6.631304,0.156108,115.022024,1,1,146386.392,125
'In The Heights' Original Broadway Company,"['broadway', 'show tunes']",47.69230769,0.467538462,0.624769231,0.563615385,0.457692308,8.69E-06,0.204384615,-8.338461538,0.152453846,117.0068462,7,1,314023.6154,13
'Legally Blonde' Ensemble,"['broadway', 'hollywood', 'show tunes']",48.66666667,0.524777778,0.553888889,0.648444444,0.441111111,2.54E-05,0.214666667,-11.45977778,0.495111111,114.8084444,2,1,304211.8889,9
